json_address,lots_table_match,match_score
"10568 Harbor Lane N, Maple Grove","10568 Harbor Lane Maple Grove, MN 55369",0.8406
"5416 Virginia Avenue N, New Hope","5416 Virginia Avenue New Hope, MN 55428",0.8406
"125 N Cedar Street, Belle Plaine","125 Cedar Street Belle Plaine, MN 56011",0.8406
"6507 Gleason Court, Edina","6507 Gleason Court Edina, MN 55436",0.8421
"3340 Sherman Court, Eagan","3340 Sherman Court Eagan, MN 55121",0.8421
"8350 5th Street NE, Spring Lake Park","8350 5Th Street Spring Lake Park, MN 55432",0.8421
"2714 Girard Avenue N, Minneapolis","2714 Girard Avenue Minneapolis, MN 55411",0.8451
"4905 Dupont Avenue N, Minneapolis","4905 Dupont Avenue Minneapolis, MN 55430",0.8451
"4046 Xerxes Avenue S, Minneapolis","4046 Xerxes Avenue Minneapolis, MN 55412",0.8451
"7865 Penn Avenue N, Brooklyn Park","7865 Penn Avenue Brooklyn Park, MN 55444",0.8451
"6366 156th Street W, Apple Valley","6366 156th Street Apple Valley, MN 55124",0.8451
"13100 Thomas Avenue S, Burnsville","13100 Thomas Avenue Burnsville, MN 55337",0.8451
"1000 41st Avenue NE #204, Columbia Heights","1000 41St Avenue Columbia Heights, MN 55421",0.8462
"5001 Kelsey Terrace, Edina","5001 Kelsey Terrace Edina, MN 55436",0.8475
"2941 Fremont Avenue N, Minneapolis","2941 Fremont Avenue Minneapolis, MN 55411",0.8493
"17316 Jersey Way, Lakeville","17316 Jersey Way Lakeville, MN 55044",0.8525
"4247 Limestone Drive, Eagan","4247 Limestone Drive Eagan, MN 55122",0.8525
"2130 Douglas Drive N, Golden Valley","2130 Douglas Drive Golden Valley, MN 55422",0.8533
"1139 151st Street, Rosemount","1139 151st Street Rosemount, MN 55068",0.8571
"17373 Dulles Lane, Lakeville","17373 Dulles Lane Lakeville, MN 55044",0.8571
"1249 Timbershore Lane #407, Eagan","1249 Timbershore Lane Eagan, MN 55123",0.8571
"20110 Globe Drive, Lakeville","20110 Globe Drive Lakeville, MN 55044",0.8571
"20104 Globe Drive, Lakeville","20104 Globe Drive Lakeville, MN 55044",0.8571
"1083 Shoreview Drive, Jordan","1083 Shoreview Drive Jordan, MN 55352",0.8571
"510 Liberty Lane, New Prague","510 Liberty Lane New Prague, MN 56071",0.8571
"610 Goldenrod Trail, Waconia","610 GOLDENROD Trail Waconia, MN 55387",0.8571
"526 Goldenrod Trail, Waconia","526 GOLDENROD Trail Waconia, MN 55387",0.8571
"425 Carpenters Point, Wayzata","425 Carpenters Point Wayzata, MN 55391",0.8615
"20307 Hunter Court, Lakeville","20307 Hunter Court Lakeville, MN 55044",0.8615
"16747 Iredale Path, Lakeville","16747 Iredale Path Lakeville, MN 55044",0.8615
"21709 Lilac Drive, Farmington","21709 Lilac Drive Farmington, MN 55024",0.8615
"726 Winterberry Lane, Waconia","726 WINTERBERRY Lane Waconia, MN 55387",0.8615
"1818 Coon Rapids Boulevard NW, Coon Rapids","1818 Coon Rapids Boulevard Coon Rapids, MN 55433",0.8636
"2670 Commerce Boulevard #202, Mound","2670 Commerce Boulevard Mound, MN 55364",0.8657
"1124 Annacotte Lane, Rosemount","1124 Annacotte Lane Rosemount, MN 55068",0.8657
"1132 Annacotte Lane, Rosemount","1132 Annacotte Lane Rosemount, MN 55068",0.8657
"20187 Gothic Avenue, Lakeville","20187 Gothic Avenue Lakeville, MN 55044",0.8657
"1108 Annacotte Lane, Rosemount","1108 Annacotte Lane Rosemount, MN 55068",0.8657
"16267 Griffon Trail, Lakeville","16267 Griffon Trail Lakeville, MN 55044",0.8657
"11712 Sierra Court, Burnsville","11712 Sierra Court Burnsville, MN 55337",0.8657
"16176 Hawthorn Path, Lakeville","16176 Hawthorn Path Lakeville, MN 55044",0.8657
"13842 Arrowhead Way, Rosemount","13842 Arrowhead Way Rosemount, MN 55068",0.8657
"20338 Gallifrey Way, Lakeville","20338 Gallifrey Way Lakeville, MN 55044",0.8657
"21604 Magnolia Way, Farmington","21604 Magnolia Way Farmington, MN 55024",0.8657
"2329 Amberwood Drive, Woodbury","2329 Amberwood Drive Woodbury, MN 55125",0.8657
"10561 Bent Pine Lane, Woodbury","10561 Bent Pine Lane Woodbury, MN 55129",0.8657
"5616 Mahoney Avenue, Minnetonka","5616 Mahoney Avenue Minnetonka, MN 55345",0.8696
"20055 Heritage Drive, Lakeville","20055 Heritage Drive Lakeville, MN 55044",0.8696
"2225 Old Post Road, Independence","2225 Old Post Road Independence, MN 55359",0.8732
"8671 Red Oak Drive, Eden Prairie","8671 Red Oak Drive Eden Prairie, MN 55347",0.8732
"16551 Irwinton Circle, Lakeville","16551 Irwinton Circle Lakeville, MN 55044",0.8732
"2120 Ridgepointe Drive, Hastings","2120 Ridgepointe Drive Hastings, MN 55033",0.8732
"13263 Applewood Trail, Rosemount","13263 Applewood Trail Rosemount, MN 55068",0.8732
"1304 Wilderness Run Drive, Eagan","1304 Wilderness Run Drive Eagan, MN 55123",0.8732
"19197 Colonial Trail, Farmington","19197 Colonial Trail Farmington, MN 55024",0.8732
"4310 Pleasant Avenue, Minneapolis","4310 Pleasant Avenue Minneapolis, MN 55409",0.8767
"21742 Desert Rose Way, Farmington","21742 Desert Rose Way Farmington, MN 55024",0.8767
"3004 Francis Lane, Elko New Market","3004 Francis Lane Elko New Market, MN 55054",0.8800
"3637 Bloomington Avenue, Minneapolis","3637 Bloomington Avenue Minneapolis, MN 55407",0.8861
"5733 Scenic Heights Drive, Minnetonka","5733 Scenic Heights Drive Minnetonka, MN 55345",0.8889
"1585 Summit Shores Circle, Burnsville","1585 Summit Shores Circle Burnsville, MN 55306",0.8889
"10064 Adam Avenue, Inver Grove Heights","10064 Adam Avenue Inver Grove Heights, MN 55077",0.8916
"7264 Ambercrest Curve, Inver Grove Heights","7264 Ambercrest Curve Inver Grove Heights, MN 55077",0.9011
"7023 Concord Boulevard, Inver Grove Heights","7023 Concord Boulevard Inver Grove Heights, MN 55076",0.9032
