json_address,lots_table_match,match_score
"1125 Annagaire Curve, Rosemount","1102 Annagaire Curve Rosemount, MN 55068",0.8169
"1109 Annagaire Curve, Rosemount","1029 Annagaire Curve Rosemount, MN 55068",0.8169
"1117 Annagaire Curve, Rosemount","1101 Annagaire Curve Rosemount, MN 55068",0.8169
"5001 Kelsey Terrace, Edina","5001 Kelsey Terrace Edina, MN 55436",0.8197
"4046 Xerxes Avenue S, Minneapolis","4046 Xerxes Avenue Minneapolis, MN 55412",0.8219
"7865 Penn Avenue N, Brooklyn Park","7865 Penn Avenue Brooklyn Park, MN 55444",0.8219
"6366 156th Street W, Apple Valley","6366 156th Street Apple Valley, MN 55124",0.8219
"17316 Jersey Way, Lakeville","17316 Jersey Way Lakeville, MN 55044",0.8254
"4247 Limestone Drive, Eagan","4247 Limestone Drive Eagan, MN 55122",0.8254
"1139 151st Street, Rosemount","1139 151st Street Rosemount, MN 55068",0.8308
"17373 Dulles Lane, Lakeville","17373 Dulles Lane Lakeville, MN 55044",0.8308
"20110 Globe Drive, Lakeville","20110 Globe Drive Lakeville, MN 55044",0.8308
"20104 Globe Drive, Lakeville","20104 Globe Drive Lakeville, MN 55044",0.8308
"1083 Shoreview Drive, Jordan","1083 Shoreview Drive Jordan, MN 55352",0.8308
"510 Liberty Lane, New Prague","510 Liberty Lane New Prague, MN 56071",0.8308
"610 Goldenrod Trail, Waconia","610 GOLDENROD Trail Waconia, MN 55387",0.8308
"526 Goldenrod Trail, Waconia","526 GOLDENROD Trail Waconia, MN 55387",0.8308
"2130 Douglas Drive N, Golden Valley","2130 Douglas Drive Golden Valley, MN 55422",0.8312
"429 James Parkway, Elko New Market","269 James Parkway Elko New Market, MN 55054",0.8312
"235 Old Wildwood Road, Mahtomedi","35 Old Wildwood Road Mahtomedi, MN 55115",0.8333
"425 Carpenters Point, Wayzata","425 Carpenters Point Wayzata, MN 55391",0.8358
"20307 Hunter Court, Lakeville","20307 Hunter Court Lakeville, MN 55044",0.8358
"16747 Iredale Path, Lakeville","16747 Iredale Path Lakeville, MN 55044",0.8358
"21709 Lilac Drive, Farmington","21709 Lilac Drive Farmington, MN 55024",0.8358
"726 Winterberry Lane, Waconia","726 WINTERBERRY Lane Waconia, MN 55387",0.8358
"1124 Annacotte Lane, Rosemount","1124 Annacotte Lane Rosemount, MN 55068",0.8406
"1132 Annacotte Lane, Rosemount","1132 Annacotte Lane Rosemount, MN 55068",0.8406
"20187 Gothic Avenue, Lakeville","20187 Gothic Avenue Lakeville, MN 55044",0.8406
"1108 Annacotte Lane, Rosemount","1108 Annacotte Lane Rosemount, MN 55068",0.8406
"16267 Griffon Trail, Lakeville","16267 Griffon Trail Lakeville, MN 55044",0.8406
"11712 Sierra Court, Burnsville","11712 Sierra Court Burnsville, MN 55337",0.8406
"16176 Hawthorn Path, Lakeville","16176 Hawthorn Path Lakeville, MN 55044",0.8406
"13842 Arrowhead Way, Rosemount","13842 Arrowhead Way Rosemount, MN 55068",0.8406
"20338 Gallifrey Way, Lakeville","20338 Gallifrey Way Lakeville, MN 55044",0.8406
"21604 Magnolia Way, Farmington","21604 Magnolia Way Farmington, MN 55024",0.8406
"2329 Amberwood Drive, Woodbury","2329 Amberwood Drive Woodbury, MN 55125",0.8406
"10561 Bent Pine Lane, Woodbury","10561 Bent Pine Lane Woodbury, MN 55129",0.8406
"5616 Mahoney Avenue, Minnetonka","5616 Mahoney Avenue Minnetonka, MN 55345",0.8451
"20055 Heritage Drive, Lakeville","20055 Heritage Drive Lakeville, MN 55044",0.8451
"2225 Old Post Road, Independence","2225 Old Post Road Independence, MN 55359",0.8493
"8671 Red Oak Drive, Eden Prairie","8671 Red Oak Drive Eden Prairie, MN 55347",0.8493
"16551 Irwinton Circle, Lakeville","16551 Irwinton Circle Lakeville, MN 55044",0.8493
"2120 Ridgepointe Drive, Hastings","2120 Ridgepointe Drive Hastings, MN 55033",0.8493
"13263 Applewood Trail, Rosemount","13263 Applewood Trail Rosemount, MN 55068",0.8493
"1304 Wilderness Run Drive, Eagan","1304 Wilderness Run Drive Eagan, MN 55123",0.8493
"19197 Colonial Trail, Farmington","19197 Colonial Trail Farmington, MN 55024",0.8493
"4310 Pleasant Avenue, Minneapolis","4310 Pleasant Avenue Minneapolis, MN 55409",0.8533
"21742 Desert Rose Way, Farmington","21742 Desert Rose Way Farmington, MN 55024",0.8533
"3004 Francis Lane, Elko New Market","3004 Francis Lane Elko New Market, MN 55054",0.8571
"3637 Bloomington Avenue, Minneapolis","3637 Bloomington Avenue Minneapolis, MN 55407",0.8642
"5733 Scenic Heights Drive, Minnetonka","5733 Scenic Heights Drive Minnetonka, MN 55345",0.8675
"1585 Summit Shores Circle, Burnsville","1585 Summit Shores Circle Burnsville, MN 55306",0.8675
"10064 Adam Avenue, Inver Grove Heights","10064 Adam Avenue Inver Grove Heights, MN 55077",0.8706
"7264 Ambercrest Curve, Inver Grove Heights","7264 Ambercrest Curve Inver Grove Heights, MN 55077",0.8817
"7023 Concord Boulevard, Inver Grove Heights","7023 Concord Boulevard Inver Grove Heights, MN 55076",0.8842
