MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
"7001976","Coming Soon - Jan 2","$375,000","10833 Toledo Avenue S","Bloomington","Single Family Residence",2,1,"1,716 sqft","0.31 acres","$219","","- -"
"7001539","Coming Soon - Jan 15","$769,000","10480 Heather Lane","Rogers","Single Family Residence",5,4,"2,210 sqft","3.10 acres","$348","","- -"
"7001619","Coming Soon - Jan 2","$350,000","342 74th Avenue N","Brooklyn Park","Single Family Residence",3,2,"2,289 sqft","0.31 acres","$153","","- -"
"7001441","Coming Soon - Jan 8","$495,000","8146 Balsam Lane N","Maple Grove","Single Family Residence",3,4,"2,235 sqft","0.062 acres","$221","","- -"
"7001365","Coming Soon - Jan 2","$144,900","3014 Fremont Avenue N","Minneapolis","Single Family Residence",3,1,"1,229 sqft","0.13 acres","$118","","- -"
"7002409","Coming Soon - Jan 2","$379,900","3933 Edgewood Avenue N","Crystal","Single Family Residence",3,2,"1,856 sqft","0.25 acres","$205","","- -"
"7001934","Coming Soon - Jan 2","$374,900","17581 Lorence Way","Eden Prairie","Single Family Residence",3,2,"1,246 sqft","0.34 acres","$301","","- -"
"7001098","Coming Soon - Jan 2","$329,900","2624 Portland Avenue","Minneapolis","Townhouse",5,2,"2,372 sqft","1.835 acres","$139","","- -"
"7000938","Coming Soon - Jan 2","$409,900","7605 Oakland Avenue","Richfield","Single Family Residence",4,2,"2,059 sqft","0.18 acres","$199","","- -"
"7002326","Coming Soon - Jan 2","$700,000","6027 James Avenue S","Minneapolis","Single Family Residence",3,3,"2,176 sqft","0.18 acres","$322","","- -"
"7002363","Coming Soon - Jan 5","$499,900","16439 Ellerdale Lane","Eden Prairie","Townhouse",3,4,"2,764 sqft","0.06 acres","$181","","- -"
"7002150","Coming Soon - Jan 6","$435,000","7864 Penn Avenue N","Brooklyn Park","Single Family Residence",4,4,"2,034 sqft","0.26 acres","$214","","- -"
"7002246","Coming Soon - Jan 2","$285,000","4525 Park Commons Drive #217","St Louis Park","Condominium",2,1,"980 sqft","- -","$291","","- -"
"7001862","Coming Soon - Jan 1","$480,000","8931 Prestwick Parkway N","Brooklyn Park","Single Family Residence",4,3,"2,550 sqft","0.21 acres","$188","","- -"
