MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
"7012646","For Sale","$515,000","1052 Adamstown Drive","Rosemount","Single Family Residence",3,3,"2,122 sqft","0.15 acres","$243","","- -"
"7012666","For Sale","$609,990","19289 Everfield Avenue","Farmington","Single Family Residence",3,3,"2,819 sqft","0.24 acres","$216","","- -"
"7012593","For Sale","$498,740","1124 Annacotte Lane","Rosemount","Single Family Residence",3,3,"2,305 sqft","0.13 acres","$216","","- -"
"7012580","For Sale","$454,690","1132 Annacotte Lane","Rosemount","Single Family Residence",3,3,"2,122 sqft","0.127 acres","$214","","- -"
"7011476","For Sale","$602,845","20044 Glarus Lane","Lakeville","Single Family Residence",3,2,"1,899 sqft","0.12 acres","$317","","- -"
"7012433","For Sale","$250,000","15522 Garnet Way #102","Apple Valley","Townhouse",2,2,"1,346 sqft","- -","$186","","- -"
"7012578","For Sale","$479,000","1139 151st Street","Rosemount","Single Family Residence",4,4,"2,459 sqft","0.09 acres","$195","","- -"
"7011889","For Sale","$639,116","20187 Gothic Avenue","Lakeville","Single Family Residence",2,2,"1,892 sqft","0.12 acres","$338","","- -"
"7012531","For Sale","$584,790","1125 Annagaire Curve","Rosemount","Single Family Residence",3,3,"2,402 sqft","0.20 acres","$243","","- -"
"7010027","For Sale","$897,900","7264 Ambercrest Curve","Inver Grove Heights","Single Family Residence",4,4,"3,074 sqft","0.226 acres","$292","","- -"
"7012288","For Sale","$602,430","1109 Annagaire Curve","Rosemount","Single Family Residence",4,3,"2,633 sqft","- -","$229","","- -"
"7012310","For Sale","$595,390","1117 Annagaire Curve","Rosemount","Single Family Residence",5,4,"2,682 sqft","0.16 acres","$222","","- -"
"7012477","For Sale","$519,900","16551 Irwinton Circle","Lakeville","Townhouse",3,3,"3,166 sqft","0.096 acres","$164","","- -"
"7009493","For Sale","$315,000","20307 Hunter Court","Lakeville","Townhouse",3,2,"1,944 sqft","0.143 acres","$162","","- -"
"7011734","For Sale","$385,000","221 9th Street S","South St Paul","Single Family Residence",3,3,"1,982 sqft","0.142 acres","$194","","- -"
"7012607","For Rent","$3,550","17373 Dulles Lane","Lakeville","Single Family Residence",5,4,"2,513 sqft","0.237 acres","$1","","- -"
"7012408","For Sale","$1,195,000","10064 Adam Avenue","Inver Grove Heights","Single Family Residence",5,4,"4,235 sqft","2.521 acres","$282","","- -"
"7012365","For Sale","$100,000","8560 Asiatic Avenue","Inver Grove Heights","Single Family Residence",3,2,"1,552 sqft","- -","$64","","- -"
"7012369","For Sale","$449,900","2120 Ridgepointe Drive","Hastings","Single Family Residence",2,2,"1,416 sqft","0.18 acres","$318","","- -"
"7012210","For Sale","$699,990","13263 Applewood Trail","Rosemount","Single Family Residence",5,4,"3,448 sqft","0.27 acres","$203","","- -"
"7008616","Active Under Contract","$375,000","1304 Wilderness Run Drive","Eagan","Single Family Residence",3,3,"2,024 sqft","0.362 acres","$185","","- -"
"7011503","For Sale","$499,000","1055 Adamstown Drive","Rosemount","Single Family Residence",3,3,"1,956 sqft","0.162 acres","$255","","- -"
"7004735","For Sale","$443,990","1108 Annacotte Lane","Rosemount","Single Family Residence",3,3,"2,044 sqft","0.127 acres","$217","","- -"
"7005806","For Sale","$450,000","17316 Jersey Way","Lakeville","Single Family Residence",3,3,"2,600 sqft","0.415 acres","$173","","- -"
"7006047","For Sale","$299,900","7023 Concord Boulevard","Inver Grove Heights","Single Family Residence",4,2,"1,824 sqft","0.344 acres","$164","","- -"
"7009703","For Sale","$425,000","2093 Vienna Lane","Eagan","Single Family Residence",4,3,"1,996 sqft","0.35 acres","$213","","- -"
"7004155","For Sale","$525,000","17624 Foxboro Lane","Farmington","Single Family Residence",5,4,"3,302 sqft","0.373 acres","$159","","- -"
"7007882","For Sale","$259,900","147 Hurley Street E","West St Paul","Single Family Residence",2,2,"900 sqft","0.108 acres","$289","","- -"
"7010575","For Sale","$449,900","1585 Summit Shores Circle","Burnsville","Townhouse",2,3,"2,504 sqft","- -","$180","","- -"
"7010706","For Sale","$269,900","7337 Bond Way #18","Inver Grove Heights","Townhouse",2,3,"1,754 sqft","- -","$154","","- -"
"6821242","For Sale","$309,900","155 Conver Street","West St Paul","Single Family Residence",3,1,"1,480 sqft","0.15 acres","$209","","- -"
"7011930","For Sale","$212,000","2865 Upper 79 Court E","Inver Grove Heights","Single Family Residence",3,1,"1,802 sqft","0.325 acres","$118","","- -"
"7012231","Active Under Contract","$409,900","15391 Ravenna Trail","Hastings","Single Family Residence",3,2,"1,968 sqft","0.945 acres","$208","","- -"
"7011925","For Sale","$435,000","xxx2 216th Street W","Farmington","Townhouse",2,2,"1,371 sqft","- -","$317","","- -"
"7011919","For Sale","$345,000","xxx1 216th Street W","Farmington","Townhouse",2,2,"1,178 sqft","- -","$293","","- -"
"7011906","For Sale","$950,000","XXX Bryant Avenue","South St Paul","- -","- -","- -","- -","4.10 acres","- -","","Water - Sewer"
"7011913","For Sale","$550,000","xxx8 217th Street W","Farmington","Single Family Residence",4,3,"2,432 sqft","0.123 acres","$226","","- -"
"7011832","For Sale","$470,000","1155 151st Street W","Rosemount","Single Family Residence",4,3,"2,299 sqft","0.086 acres","$204","","- -"
"7011786","For Sale","$555,900","5408 176th Street W","Lakeville","Single Family Residence",3,2,"1,830 sqft","0.192 acres","$304","","- -"
"7011761","For Sale","$559,900","16267 Griffon Trail","Lakeville","Single Family Residence",6,4,"2,078 sqft","0.412 acres","$269","","- -"
"6808110","For Sale","$445,000","6366 156th Street W","Apple Valley","Townhouse",4,3,"2,718 sqft","0.07 acres","$164","","- -"
"7010837","For Sale","$475,000","851 5th Avenue S","South St Paul","- -",6,4,"3,160 sqft","0.229 acres","$150","","- -"
"7011688","Active Under Contract","$575,000","16747 Iredale Path","Lakeville","Townhouse",4,3,"3,238 sqft","0.096 acres","$178","","- -"
"6825217","For Sale","$375,000","4247 Limestone Drive","Eagan","Single Family Residence",4,2,"1,938 sqft","0.21 acres","$193","","- -"
"7011626","For Sale","$325,000","625 7th Street W","Hastings","Single Family Residence",3,2,"1,100 sqft","0.226 acres","$295","","- -"
"7008882","For Sale","$449,900","11712 Sierra Court","Burnsville","Single Family Residence",6,4,"2,744 sqft","0.299 acres","$164","","- -"
"7011192","For Sale","$275,000","1655 W 140th Street","Burnsville","Townhouse",3,2,"1,408 sqft","0.096 acres","$195","","- -"
"7011236","For Sale","$679,000","16176 Hawthorn Path","Lakeville","Single Family Residence",5,4,"4,131 sqft","0.42 acres","$164","","- -"
"7011931","For Sale","$445,000","xxx3 216th Street W","Farmington","Townhouse",2,2,"1,506 sqft","0.071 acres","$295","","- -"
"7011426","For Sale","$499,999","19197 Colonial Trail","Farmington","Single Family Residence",4,3,"3,221 sqft","0.278 acres","$155","","- -"
"7010308","For Sale","$309,900","7195 168th Street W","Rosemount","Single Family Residence",3,2,"1,104 sqft","0.364 acres","$281","","- -"
"7011818","For Sale","$2,275,000","3340 Sherman Court","Eagan","- -","- -","- -","8,192 sqft","1.142 acres","$278","","- -"
"7006506","For Sale","$649,900","13842 Arrowhead Way","Rosemount","Single Family Residence",4,3,"2,331 sqft","0.18 acres","$279","","- -"
"7005357","For Sale","$365,000","600 Greenhaven Drive #110","Burnsville","Condominium",2,2,"1,763 sqft","- -","$207","","- -"
"7011416","For Sale","$543,000","1048 Adamstown Drive","Rosemount","Single Family Residence",5,3,"2,485 sqft","0.154 acres","$219","","- -"
"7011137","For Sale","$528,000","1059 Adamstown Drive","Rosemount","Single Family Residence",5,3,"2,497 sqft","0.224 acres","$211","","- -"
"6824277","For Sale","$350,000","106 19th Avenue N","South St Paul","Single Family Residence",4,2,"1,816 sqft","0.156 acres","$193","","- -"
"7010494","For Sale","$289,777","4781 Blaine Avenue #408","Inver Grove Heights","Townhouse",2,2,"1,524 sqft","0.001 acres","$190","","- -"
"6812049","For Sale","$255,000","1249 Timbershore Lane #407","Eagan","Townhouse",2,2,"1,202 sqft","0.09 acres","$212","","- -"
"7008538","For Sale","$285,000","338 12th Avenue S","South St Paul","Single Family Residence",3,1,"1,438 sqft","0.154 acres","$198","","- -"
"7008385","For Sale","$210,000","3563 Blue Jay Way #200","Eagan","Condominium",2,1,"1,050 sqft","- -","$200","","- -"
"7008831","For Sale","$480,000","xxx5 217th Street W","Farmington","Single Family Residence",3,3,"1,855 sqft","0.123 acres","$259","","- -"
"7008829","For Sale","$465,000","xxx4 217th Street W","Farmington","Single Family Residence",2,2,"1,556 sqft","0.123 acres","$299","","- -"
"7008833","For Sale","$455,000","xxx2 217th Street W","Farmington","Single Family Residence",2,2,"1,477 sqft","0.123 acres","$308","","- -"
"7011175","Active Under Contract","$429,999","17295 Fieldcrest Avenue","Farmington","Single Family Residence",3,2,"2,287 sqft","0.229 acres","$188","","- -"
"7011165","For Sale","$395,000","6965 Upper 164th Street W","Rosemount","Single Family Residence",4,2,"1,962 sqft","0.27 acres","$201","","- -"
"7011129","For Sale","$419,900","1248 Delaware Avenue","West St Paul","Single Family Residence",5,2,"2,055 sqft","0.194 acres","$204","","- -"
"7011131","For Sale","$544,510","7177 183rd Street W","Lakeville","Single Family Residence",5,3,"2,505 sqft","0.10 acres","$217","","- -"
"7011053","For Sale","$629,515","1080 Adamstown Drive","Rosemount","Single Family Residence",4,3,"2,487 sqft","0.25 acres","$253","","- -"
"7011044","For Sale","$484,085","4773 218th Street W","Farmington","Single Family Residence",5,3,"2,505 sqft","0.17 acres","$193","","- -"
"7011039","For Sale","$446,710","4767 218th Street W","Farmington","Single Family Residence",4,3,"1,828 sqft","0.17 acres","$244","","- -"
