MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
"7010272","For Sale","$338,990","1523 Traverse Lane","West St Paul","Townhouse",2,2,"1,898 sqft","0.03 acres","$179","","- -"
"7010990","For Sale","$339,900","21709 Lilac Drive","Farmington","Townhouse",3,3,"1,804 sqft","0.05 acres","$188","","- -"
"7010967","For Sale","$367,110","21742 Desert Rose Way","Farmington","Townhouse",3,3,"1,792 sqft","0.05 acres","$205","","- -"
"7010888","For Sale","$568,455","20338 Gallifrey Way","Lakeville","Single Family Residence",4,3,"2,271 sqft","0.20 acres","$250","","- -"
"7010660","For Sale","$275,000","14103 Plymouth Avenue #110","Burnsville","Townhouse",2,2,"1,346 sqft","- -","$204","","- -"
"7010655","For Sale","$325,000","2177 Cool Stream Circle","Eagan","Townhouse",2,3,"1,986 sqft","- -","$164","","- -"
"7009873","For Sale","$399,999","13100 Thomas Avenue S","Burnsville","Single Family Residence",4,3,"2,537 sqft","0.273 acres","$158","","- -"
"7010230","For Sale","$667,900","20110 Globe Drive","Lakeville","Single Family Residence",3,3,"2,886 sqft","0.115 acres","$231","","- -"
"7008739","For Sale","$254,000","20055 Heritage Drive","Lakeville","Townhouse",2,3,"1,404 sqft","0.029 acres","$181","","- -"
"7010984","For Sale","$349,350","21604 Magnolia Way","Farmington","Townhouse",3,3,"1,792 sqft","0.05 acres","$195","","- -"
"7010231","For Sale","$643,900","20104 Globe Drive","Lakeville","Single Family Residence",2,2,"1,884 sqft","0.115 acres","$342","","- -"
"6806670","For Sale","$115,000","4110 Rahn Road #121","Eagan","Condominium",2,1,"900 sqft","- -","$128","","- -"
