MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
"7012628","For Sale","$126,900","1000 41st Avenue NE #204","Columbia Heights","Condominium",1,1,"777 sqft","0.60 acres","$163","","- -"
"7012561","For Rent","$2,500","8350 5th Street NE","Spring Lake Park","Single Family Residence",4,2,"1,909 sqft","0.24 acres","$1","","- -"
"7012548","For Sale","$230,000","23080 Bittersweet Street NW","St Francis","Townhouse",2,2,"1,453 sqft","0.05 acres","$158","","- -"
"7012547","For Sale","$484,990","12595 Erskin Street NE","Blaine","Single Family Residence",4,3,"2,166 sqft","0.162 acres","$224","","- -"
"7012543","For Sale","$456,990","12584 Erskin Street NE","Blaine","Single Family Residence",3,3,"1,810 sqft","0.181 acres","$252","","- -"
"7012542","For Sale","$506,990","12594 Erskin Street NE","Blaine","Single Family Residence",4,3,"2,515 sqft","0.173 acres","$202","","- -"
"7012541","For Sale","$459,990","12574 Erskin Street NE","Blaine","Single Family Residence",4,3,"2,062 sqft","- -","$223","","- -"
"7012479","For Sale","$275,000","1818 Coon Rapids Boulevard NW","Coon Rapids","- -","- -","- -","2,050 sqft","0.024 acres","$134","","- -"
