MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
"7002916","For Sale","$420,000","1113 Legion Street S","Shakopee","Single Family Residence",3,2,"1,948 sqft","0.38 acres","$216","","- -"
"7001195","Coming Soon - Jan 16","$499,900","969 Bridle Creek Drive","Jordan","Single Family Residence",4,3,"2,758 sqft","0.362 acres","$181","","- -"
"7001205","Coming Soon - Jan 2","$619,999","13732 Ashcroft Road","Savage","Single Family Residence",4,4,"3,415 sqft","0.35 acres","$182","","- -"
"6825826","Coming Soon - Jan 7","$250,000","5482 Egan Drive","Savage","Townhouse",3,2,"1,398 sqft","0.03 acres","$179","","- -"
