MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
"7012678","For Sale","$1,181,395","755 Ensconced Way","Chaska","Single Family Residence",5,5,"3,538 sqft","0.30 acres","$334","","- -"
"7012601","For Sale","$595,000","726 Winterberry Lane","Waconia","Single Family Residence",5,4,"3,156 sqft","0.28 acres","$189","","- -"
"7012564","For Sale","$399,990","610 Goldenrod Trail","Waconia","Single Family Residence",3,3,"1,842 sqft","0.201 acres","$217","","- -"
"7012565","For Sale","$475,000","526 Goldenrod Trail","Waconia","Single Family Residence",4,3,"2,103 sqft","0.19 acres","$226","","- -"
"7012627","For Sale","$1,450,000","7250 Rutz Lake Road","Waconia","- -","- -","- -","- -","80.00 acres","- -","","- -"
