MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
"7003129","For Sale","$130,000","1049 Helmo Ave North","Oakdale","- -","- -","- -","1,450 sqft","- -","$90","","- -"
"6826322","For Sale","$829,900","12521 Homestead Drive","Hugo","Single Family Residence",6,3,"3,520 sqft","0.975 acres","$236","","- -"
"7002979","For Sale","$524,000","9480 206th Street N","Forest Lake","Single Family Residence",3,3,"3,025 sqft","2.242 acres","$173","","- -"
"7002799","For Sale","$449,900","349 69th Street N","Mahtomedi","Single Family Residence",4,3,"1,898 sqft","0.241 acres","$237","","- -"
"6818281","For Sale","$575,000","13025 4th Street N","Stillwater","Single Family Residence",3,3,"2,587 sqft","3.148 acres","$222","","- -"
"7002913","For Sale","$1,400,000","10484 56th Place N","Lake Elmo","Single Family Residence",4,3,"3,601 sqft","1.172 acres","$389","","- -"
"7003121","For Sale","$1,100,000","230 Board Circle","St Paul","Single Family Residence",4,4,"4,200 sqft","0.592 acres","$262","","- -"
"7002880","For Sale","$514,900","21857 Iden Avenue Place N","Forest Lake","Single Family Residence",5,3,"2,581 sqft","0.351 acres","$199","","- -"
