MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
"7012667","For Sale","$453,205","6140 157th Street N","Hugo","Single Family Residence",4,3,"2,296 sqft","0.17 acres","$197","","- -"
"7012559","For Sale","$443,410","6150 157th Street N","Hugo","Single Family Residence",3,3,"2,122 sqft","0.19 acres","$209","","- -"
"7012605","For Sale","$711,955","10561 Bent Pine Lane","Woodbury","Single Family Residence",5,4,"3,156 sqft","0.22 acres","$226","","- -"
"7011829","For Sale","$229,900","2329 Amberwood Drive","Woodbury","Townhouse",2,2,"1,440 sqft","0.096 acres","$160","","- -"
"7012483","For Sale","$1,349,000","235 Old Wildwood Road","Mahtomedi","Single Family Residence",4,5,"4,518 sqft","0.70 acres","$299","","- -"
"7004620","For Sale","$382,000","7610 50th Street N","Lake Elmo","Single Family Residence",3,2,"1,403 sqft","1.006 acres","$272","","- -"
"7012313","For Sale","$488,450","6130 157th Street N","Hugo","Single Family Residence",4,3,"2,293 sqft","0.17 acres","$213","","- -"
