MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
"7012698","Coming Soon - Feb 2","$429,000","3032 14th Avenue S","Minneapolis","- -",4,4,"3,650 sqft","0.16 acres","$118","","- -"
"7012694","For Sale","$259,900","7600 Lyndale Avenue S #228","Richfield","Condominium",2,2,"1,191 sqft","- -","$218","","- -"
"7012639","Coming Soon - Jan 31","$184,900","7600 Lyndale Avenue S #108","Richfield","Condominium",1,1,"711 sqft","- -","$260","","- -"
"7012500","For Sale","$555,000","15181 116th Avenue N","Dayton","Single Family Residence",5,4,"2,911 sqft","0.16 acres","$191","","- -"
"7012501","For Sale","$599,000","15044 116th Avenue N","Dayton","Single Family Residence",4,3,"2,565 sqft","0.25 acres","$234","","- -"
"7012503","For Sale","$599,000","11649 Harbor Circle N","Dayton","Single Family Residence",3,2,"1,890 sqft","0.27 acres","$317","","- -"
"7012517","For Sale","$645,000","11664 Harbor Lane N","Dayton","Single Family Residence",4,4,"3,005 sqft","0.225 acres","$215","","- -"
"7012518","Active Under Contract","$559,000","11532 Polaris Lane N","Dayton","Single Family Residence",4,3,"2,840 sqft","0.26 acres","$197","","- -"
"7012515","For Sale","$629,000","11675 Harbor Lane N","Dayton","Single Family Residence",4,3,"2,565 sqft","0.227 acres","$245","","- -"
"7012522","For Sale","$685,000","11645 Harbor Circle N","Dayton","Single Family Residence",5,4,"3,864 sqft","0.24 acres","$177","","- -"
"7012509","For Sale","$550,000","11657 Minnesota Lane N","Dayton","Single Family Residence",5,4,"2,523 sqft","0.20 acres","$218","","- -"
"7012502","For Sale","$520,000","15177 116th Avenue N","Dayton","Single Family Residence",5,4,"2,523 sqft","0.20 acres","$206","","- -"
"7012523","For Sale","$515,000","11621 Minnesota Lane N","Dayton","Single Family Residence",4,3,"2,090 sqft","0.17 acres","$246","","- -"
"7012642","For Sale","$657,445","4687 Starflower Lane","Minnetrista","Single Family Residence",5,4,"3,251 sqft","0.224 acres","$202","","- -"
"7012635","Coming Soon - Jan 29","$400,000","7127 Morgan Avenue S","Richfield","Single Family Residence",4,2,"1,865 sqft","0.23 acres","$214","","- -"
"7012609","For Sale","$903,475","7428 Elm Lane","Corcoran","Single Family Residence",3,3,"3,293 sqft","0.20 acres","$274","","- -"
"7012142","Coming Soon - Jan 28","$335,000","2628 Ulysses Street NE","Minneapolis","Single Family Residence",3,1,"1,180 sqft","0.08 acres","$284","","- -"
"6824618","Coming Soon - Feb 13","$900,000","16105 37th Avenue N","Plymouth","Single Family Residence",4,4,"5,168 sqft","0.32 acres","$174","","- -"
"7012440","For Sale","$430,000","2130 Douglas Drive N","Golden Valley","Single Family Residence",5,3,"2,006 sqft","0.57 acres","$214","","- -"
"7012538","For Sale","$242,000","912 W 66th Street","Richfield","Townhouse",3,2,"1,058 sqft","0.138 acres","$229","","- -"
"7012556","For Sale","$651,100","14980 144th Avenue N","Dayton","Single Family Residence",4,3,"2,952 sqft","0.068 acres","$221","","- -"
"7012562","For Sale","$374,345","24235 Williams Road","Rogers","Townhouse",4,3,"1,798 sqft","0.05 acres","$208","","- -"
"7012041","Coming Soon - Jan 26","$1,450,000","5001 Kelsey Terrace","Edina","Single Family Residence",5,4,"3,837 sqft","0.32 acres","$378","","- -"
"7012508","For Sale","$535,000","10568 Harbor Lane N","Maple Grove","Single Family Residence",3,2,"1,777 sqft","0.16 acres","$301","","- -"
"7011798","For Sale","$549,000","2225 Old Post Road","Independence","Single Family Residence",4,3,"2,201 sqft","2.43 acres","$249","","- -"
"7012544","For Sale","$325,000","24225 Williams Road","Rogers","Townhouse",3,3,"1,665 sqft","0.04 acres","$195","","- -"
"7012075","Coming Soon - Jan 29","$230,000","2900 11th Avenue S #413","Minneapolis","Condominium",2,2,"1,139 sqft","- -","$202","","- -"
"7009453","Coming Soon - Jan 26","$375,000","4114 Xenwood Avenue S","St Louis Park","Single Family Residence",3,2,"1,872 sqft","0.15 acres","$200","","- -"
"7010534","Coming Soon - Jan 29","$1,897,470","5616 Mahoney Avenue","Minnetonka","Single Family Residence",5,4,"3,569 sqft","0.74 acres","$532","","- -"
"7010823","Coming Soon - Jan 29","$310,000","2714 Girard Avenue N","Minneapolis","Single Family Residence",4,2,"2,000 sqft","0.12 acres","$155","","- -"
"7012066","Coming Soon - Jan 28","$254,900","4905 Dupont Avenue N","Minneapolis","Single Family Residence",3,1,"1,322 sqft","0.14 acres","$193","","- -"
"6812564","Coming Soon - Jan 28","$50,000,000","2770 Gale Road","Wayzata","Single Family Residence",8,18,"28,990 sqft","8.00 acres","$1,725","","- -"
"6824373","Coming Soon - Jan 30","$280,000","13354 73rd Place N","Maple Grove","Single Family Residence",3,2,"1,354 sqft","0.15 acres","$207","","- -"
"7011259","Coming Soon - Jan 30","$439,500","6040 Goldenrod Lane N","Plymouth","Single Family Residence",4,2,"2,688 sqft","0.46 acres","$164","","- -"
"7010329","Coming Soon - Feb 5","$145,000","2200 Nevada Avenue S #211","St Louis Park","Condominium",1,1,"833 sqft","- -","$174","","- -"
"7011993","Coming Soon - Jan 28","$294,900","4520 Rosewood Lane N","Plymouth","Townhouse",2,2,"1,384 sqft","0.06 acres","$213","","- -"
"6743652","Coming Soon - Jan 29","$790,000","4046 Xerxes Avenue S","Minneapolis","Single Family Residence",4,4,"2,718 sqft","0.18 acres","$291","","- -"
"7006919","Coming Soon - Feb 12","$349,900","3637 Bloomington Avenue","Minneapolis","Single Family Residence",3,2,"1,094 sqft","0.12 acres","$320","","- -"
"7011653","Coming Soon - Jan 27","$375,000","4600 Boone Avenue N","New Hope","Single Family Residence",4,3,"2,225 sqft","0.28 acres","$169","","- -"
"7010898","Coming Soon - Jan 26","$275,000","2509 N 6th Street","Minneapolis","Single Family Residence",4,2,"1,758 sqft","0.23 acres","$156","","- -"
"7011769","Coming Soon - Jan 29","$450,000","6929 James Avenue S","Richfield","Single Family Residence",3,3,"1,997 sqft","0.20 acres","$225","","- -"
"7011753","Coming Soon - Jan 26","$439,900","22570 129th Place N","Rogers","Single Family Residence",3,2,"2,204 sqft","0.34 acres","$200","","- -"
"7001831","Coming Soon - Jan 29","$235,000","15630 26th Avenue N #B","Plymouth","Townhouse",2,2,"1,356 sqft","0.031 acres","$173","","- -"
"7011615","Coming Soon - Jan 29","$349,000","2508 11th Avenue S","Minneapolis","Single Family Residence",4,2,"1,980 sqft","0.13 acres","$176","","- -"
"7007857","Coming Soon - Feb 11","$385,000","6739 Yucca Lane N","Maple Grove","Single Family Residence",4,2,"1,770 sqft","0.26 acres","$218","","- -"
"7011054","Coming Soon - Feb 11","$450,000","5733 Scenic Heights Drive","Minnetonka","Single Family Residence",3,2,"2,494 sqft","0.53 acres","$180","","- -"
"7010462","Coming Soon - Feb 5","$600,000","10920 Oak Knoll Terrace N","Hopkins","Single Family Residence",6,4,"2,360 sqft","0.32 acres","$254","","- -"
