MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
"7006916","Coming Soon - Feb 4","$495,000","649 Madison Street NE","Minneapolis","Single Family Residence",5,3,"2,070 sqft","0.12 acres","$239","","- -"
"7010481","Coming Soon - Jan 27","$1,850,000","222 Ferndale Road S ##105","Wayzata","Condominium",2,3,"2,490 sqft","0.99 acres","$743","","- -"
"6796098","Coming Soon - Feb 4","$500,000","2670 Commerce Boulevard #202","Mound","Condominium",2,2,"1,393 sqft","- -","$359","","- -"
"7010316","Coming Soon - Jan 30","$675,000","3101 Tyler Street NE","Minneapolis","- -",8,4,"2,800 sqft","0.21 acres","$241","","- -"
"7010224","Coming Soon - Jan 29","$365,000","8533 Rich Avenue S","Bloomington","Single Family Residence",3,2,"1,650 sqft","0.29 acres","$221","","- -"
"7010114","Coming Soon - Feb 8","$279,900","8401 32nd Avenue N","Crystal","Single Family Residence",3,1,"1,022 sqft","0.18 acres","$274","","- -"
"7009578","Coming Soon - Feb 6","$474,900","3036 15th Avenue S","Minneapolis","- -",7,3,"2,844 sqft","0.13 acres","$167","","- -"
"7009564","Coming Soon - Jan 29","$250,000","2941 Fremont Avenue N","Minneapolis","- -",6,2,"1,968 sqft","0.13 acres","$127","","- -"
"7009648","Coming Soon - Feb 6","$495,000","8671 Red Oak Drive","Eden Prairie","Single Family Residence",4,3,"1,925 sqft","0.51 acres","$257","","- -"
"7008951","Coming Soon - Feb 5","$1,200,000","6507 Gleason Court","Edina","Single Family Residence",3,3,"3,778 sqft","0.20 acres","$318","","- -"
"7008730","Coming Soon - Feb 4","$370,000","7865 Penn Avenue N","Brooklyn Park","Single Family Residence",4,2,"2,006 sqft","0.26 acres","$184","","- -"
"6800504","Coming Soon - Jan 31","$3,695,000","425 Carpenters Point","Wayzata","Single Family Residence",4,5,"6,487 sqft","0.33 acres","$570","","- -"
"7007338","Coming Soon - Feb 4","$650,000","5416 Virginia Avenue N","New Hope","Single Family Residence",6,4,"3,516 sqft","0.23 acres","$185","","- -"
"6769647","Coming Soon - Feb 2","$300,000","3921 36th Avenue N","Robbinsdale","Townhouse",3,3,"1,744 sqft","0.07 acres","$172","","- -"
"7001583","Coming Soon - Jan 29","$549,900","4310 Pleasant Avenue","Minneapolis","Single Family Residence",4,2,"1,725 sqft","0.12 acres","$319","","- -"
