MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
"7003122","For Sale","$359,900","14744 Zeolite Street NW","Ramsey","Single Family Residence",3,3,"1,930 sqft","0.16 acres","$186","","- -"
"7001926","For Sale","$388,000","424 106th Avenue NW","Coon Rapids","Single Family Residence",3,2,"2,002 sqft","0.29 acres","$194","","- -"
"6800838","For Sale","$475,000","10159 Terrace Court NE","Blaine","Single Family Residence",4,3,"2,080 sqft","0.34 acres","$228","","- -"
